id,nombre_cientifico,categoria,categoria2,grupo,clasificacion_FAO,cultivo,origen_et,origen,vulnerabilidad_et,vulnerabilidad,imp_economica_org,imp_economica_org_et,seg_alimentaria_org,seg_alimentaria_org_et,incertidumbre,incertidumbre_et,imp_economica,imp_economica_et,pool_imp_economica,seg_alimentaria,seg_alimentaria_et,pool_imp_sa,int_banco,int_banco_et,un_catalogo,un_estado_conservacion,est_conservacion_BGRL,vulnerabilidad,un_origen,un_habito,un_region_biogeografica,un_elevacion_msnm,un_departamentos,origen_x_regiones,tipo_origen,fuente_lista,clasificacion_FAO,ciclocultivo,int_economico_colombia,accesiones,sistema_conservacion,existe_banco,especies_cercanas_genoma,seguridad_alimentaria,accion_prioritaria,costo,catalogo_plantas_colombia,plan_nacional_sa,reg_mincultura,nombre_comun,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,promedio_p,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,prom_ac,VP1,VP2,VP3,VP4,VP5,VP6,VP7,VP8,VP9,VP10,prom_vp,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,rendimiento,valor_produccion_h,porc_municipios,exportaciones_cneta,Valor_FOB _Exportaciones(COP),Valor_FOB_Exportaciones(COP-kg),Importaciones_Cantidad neta (t),Valor_FOB_Importaciones(COP),Valor_CIF_Importaciones(COP),Valor_FOB_Importaciones(COP-kg),Valor_CIF_Importaciones_(COP-kg),Grado_de_suficiencia,proxy_Consumo_aparente_Nacional,Indicador_de_generación_de_divisas(Exportaciones-Producción),Porcentaje_valor_FOB_exportaciones_totales,Porcentaje_valor_CIF_de_Importaciones,indice_lafay,calcio_precio,hierro_precio,pesos-Sodio promedio,pesos-Fósforo promedio,pesos-Yodo promedio,pesos-Flúor promedio,zinc_precio,pesos-Manganeso promedio,pesos-Magnesio promedio,pesos-Potasio promedio,energia_precio,pesos-Energía (kj),pesos-Humedad promedio,pesos-Proteína promedio,pesos-Lípidos promedio,pesos-Cenizas promedio,pesos-Fibra dietaria promedio,Consumo_alimentos,Aporte promedio diario de Calcio (mg/día),Aporte promedio diario de Hierro (mg/día),Aporte promedio diario de Zinc (mg/día),Aporte promedio diario de Energía (kcal/día),Calcio,TipoCalcio,Zinc,TipoZinc,Hierro,TipoHierro,Energia,TipoEnerg
86,Vaccinium corymbosum,EVA's (MADR) List,NCB,Frutales,Fruits and nuts,NA,Distant,20,MinorConcern,35,54.42,Medium,8,Undetermined,90,Alta,54.42,Medium,No,8,Undetermined,No,25.02,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,Least concern,NA,NA,NA,NA,NA,NA,North America,Introducida,NA,Fruits and nuts,Permanente,NA,NA,NA,2,SI,NA,NA,NA,NA,NA,NA,ARANDANO,NA,NA,NA,NA,NA,4,0,0,10,91,208,52.16666667,NA,NA,NA,NA,NA,2,0,0,2,7.5,12.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.04166667,626000000,4.00E-03,1.36,40872981.93,30029.37,2078.21,15481903002,16252973150,7449.62,7820.65,9.04E-02,2284.85,2.61E-02,0,2.20E-03,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Agaricus bisporus,EVA's (MADR) List,NCB,Hongos,Vegetables and melons,NA,Distant,20,NotEvaluated,0,33.74,Low,57.5,Medium,30,Baja,33.74,Low,No,57.5,Medium,No,29.12,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NA,NA,NA,NA,NA,NA,Southwest Europe,Introducida,Lista BGV,Vegetables and melons,Permanente,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,CHAMPIÑON,0,0,0,0,0,0,186,60,60,79,80,42.27272727,0,0,0,0,0,0,3.1,1,1,1.8,1.8,0.790909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694827586,1.00E-03,553.51,6251267296,11293.8,1276.58,7787612024,8424559532,6100.39,6599.34,NA,NA,0,5.00E-04,1.10E-03,0.1,96.50383139,NA,72.37787354,23.16091953,NA,NA,643.3588759,22.27011494,64.33588759,NA,10.72264793,2.550762063,6.369889861,60.94978825,965.0383139,131.5961337,NA,93,5.58,25.482,0.837,50.22,9.30E-03,T1,0.2093,T1,NA,NA,4.19E-02,T1
88,Chrysophyllum cainito,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Close,45,Threatened,75,30,Low,57.5,Medium,60,Media,30,Low,No,57.5,Medium,No,69.12,Medium,Yes,Not Evaluated,Endangered,Threatened,Cultivated,Árbol,"Andes,Guayana y Serranía de La Macarena,Pacífico,Valle del Magdalena",10 - 1560,"Amazonas,Antioquia,Atlántico,Cundinamarca,Guainía,Huila,Magdalena,Nariño,Quindío,Tolima,Valle",Central America y Mexico,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,campo,0,NO,NA,NA,NA,NA,NA,NA,CAIMO,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,5.65E-02,T2,NA,NA,4.04E-02,T2,6.03E-02,T2
90,Zingiber officinale,EVA's (MADR) List,NCB,Plantas aromaticas condimentarias y medicinales,Beverage and spice crops,NA,Distant,20,NotEvaluated,0,65,High,8,Undetermined,90,Alta,65,High,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,No result,NA,Cultivated,Hierba,"Amazonia,Andes,Llanura del Caribe,Pacífico",0 - 1500,"Amazonas,Bolívar,Chocó,Quindío",South Asia,Introducida,Listado EVA's (MADR),Beverage and spice crops,Transitorio,NA,NA,NA,2,NO,NA,NA,NA,NA,NA,NA,JENGIBRE,0,3,2,0,0,0,0,3,4,66,48,11,0,3,0,0,0,0,0,1,1,4,3,1.090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5025,73517500,2.00E-03,1467.87,16814389644,11454.94,770.01,1154349160,1286873783,1499.14,1671.25,NA,NA,0,1.40E-03,2.00E-04,-7.00E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Cicer arietinum,EVA's (MADR) List,NCB,Leguminosas,Leguminous crops,NA,Distant,20,NotEvaluated,0,39.71,Medium,33.94,Low,30,Baja,39.71,Medium,No,33.94,Low,No,26.19,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NA,NA,NA,NA,NA,NA,South and East Mediterranean,Introducida,Lista BGV,Leguminous crops,Transitorio,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,GARBANZO,3.5,6,3,4,7.254,56.217,86.74,74.6,100.7,73.4,77.85,44.84,NA,3,NA,NA,9.3,59.05,48.5,3.5,30,30.4,41.25,28.125,NA,NA,NA,NA,NA,5.71E-02,8.81E-02,7.50E-02,9.27E-02,9.75E-02,8.21E-02,10383,8891,7713,19752,7197,12008,9848,10657,7689,2,8383245,0,0.18,1872348.2,10699.13,10048.77,30041782989,31598708265,2989.6,3144.54,0,10126.44,3.90E-03,0,4.30E-03,0.01,3.49301875,81.86762695,17.46509375,1.746509375,NA,NA,NA,NA,NA,NA,7.379617077,1.752350543,6.939772351,100.7601562,374.2520089,374.2520089,74.85040179,50,75,3.2,0,35.5,0.125,T1,NA,NA,0.2462,T1,2.96E-02,T1
92,Citrus amblycarpa,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,36.38,Low,8,Undetermined,90,Alta,36.38,Low,No,33.92,Low,PCG,27.63,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Citrus aurantiifolia,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,MinorConcern,35,58.81,High,8,Undetermined,90,Alta,58.81,High,No,33.92,Low,PCG,27.37,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,Least concern,MinorConcern,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,1,NO,NA,NA,NA,NA,NA,NA,LIMON,91808,66681.5,68425.4,82464,80873.5,97524,94111.4,107674,134981,75558.9,79489.7,89053.76364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.4031,38.5469,49.6499,55.2156,71.7645,89.954,38.1068,48.5594,49.6956,37.6771,52.2573,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14000000,1.30E-02,20406.97,70985874724,3478.51,503.45,777605936.7,890670573.8,1544.56,1769.14,0.9916,59586.18,0.2292,6.10E-03,1.00E-04,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,0,0,0,NA,0,T1,NA,NA,NA,NA,NA,NA
95,Citrus aurantium,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,MinorConcern,35,36.38,Low,8,Undetermined,90,Alta,36.38,Low,No,33.92,Low,PCG,27.63,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,Least concern,MinorConcern,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,0,NO,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Phoenix dactilyfera,EVA's (MADR) List,NCB,Frutales,Sugar crops,NA,Distant,20,NotEvaluated,0,30,Low,33.92,Low,90,Alta,30,Low,No,33.92,Low,No,24.34,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NA,NA,NA,NA,NA,NA,Southeast Asia,Introducida,Lista BGV,Sugar crops,Permanente,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,20,8,16,30,9,12,12,21,57,42.5,7.2,21.33636364,5,2,4,3,3,4,4,7,19,5,6,5.636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.785483871,NA,1.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,7.2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Citrus clementina,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,36.38,Low,8,Undetermined,90,Alta,36.38,Low,No,33.92,Low,PCG,27.63,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,NA,0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Matricaria recutita,EVA's (MADR) List,NCB,Plantas aromaticas condimentarias y medicinales,Beverage and spice crops,NA,Distant,20,MinorConcern,35,30.22,Low,8,Undetermined,90,Alta,30.22,Low,No,8,Undetermined,No,17.06,Low,Yes,Not Evaluated,Least concern,NA,Adventitia,Hierba,Andes,1700 - 3600,"Antioquia,Boyacá,Cundinamarca,Huila,Magdalena,Nariño,Putumayo,Risaralda,Santander,Tolima,Valle",Southeast Europe,Introducida,Lista BGV,Beverage and spice crops,Transitorio,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA,NA,MANZANILLA,7.6,7.5,2,0,0,0,0,0,0,31.6,79.6,11.66363636,2.5,2,0,0,0,0,0,0,0,4.8,6.8,1.463636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.968944099,NA,1.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,79.6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Amaranthus caudatus,EVA's (MADR) List,NCB,Plantas aromaticas condimentarias y medicinales,Beverage and spice crops,NA,Local,70,NotEvaluated,0,30,Low,57.5,Medium,90,Alta,30,Low,No,57.5,Medium,No,69.12,Medium,Yes,Not Evaluated,No result,NA,Cultivated,Arbusto,"Andes,Llanura del Caribe",400 - 2600,"Bolívar,Caldas,Chocó,Cundinamarca,Huila,Meta,Nariño,Quindío",Tropical South America,Nativa,Lista BGV,Beverage and spice crops,Transitorio,NA,NA,NA,NA,SI,NA,NA,NA,NA,NA,NA,AMARANTO,0,0,0,0,0,0,0,0,0.9,8.6,15.2,2.245454545,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.518181818,8809091,2.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,15.2,0,0,0,1,566.6666727,17000.00018,NA,NA,NA,NA,NA,1545.454562,58.62069028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-03,T2,NA,NA,7.70E-03,T2,NA,NA
101,Citrus excelsa,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,36.38,Low,8,Undetermined,90,Alta,36.38,Low,No,33.92,Low,PCG,27.63,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Citrus grandis,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,36.38,Low,8,Undetermined,90,Alta,36.38,Low,No,33.92,Low,PCG,27.63,Low,Yes,Not Evaluated,No result,NotEvaluated,Cultivated,"Arbolito,Árbol","Amazonia,Andes,Islas Caribeñas,Llanura del Caribe,Pacífico,Valle del Cauca,Valle del Magdalena",0 - 2950,"Amazonas,Antioquia,Atlántico,Caquetá,Cauca,Cesar,Chocó,Cundinamarca,Magdalena,Meta,Nariño,Norte de Santander,Putumayo,Tolima",East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,0,NO,NA,NA,NA,*Citrus grandis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Salvia hispanica,EVA's (MADR) List,NCB,Plantas aromaticas condimentarias y medicinales,Beverage and spice crops,NA,Close,45,MinorConcern,35,32.72,Low,8,Undetermined,90,Alta,32.72,Low,No,8,Undetermined,No,22.59,Low,Yes,Least concern,No result,NA,Naturalizaded & adventitia,Hierba,Andes,1800 - 2400,"Antioquia,Boyacá,Cundinamarca",Central America y Mexico,Nativa,Listado EVA's (MADR),Beverage and spice crops,Transitorio,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA,NA,CHIA,0,0,0,0,0,0,0,0,7.4,9.3,21.6,3.481818182,NA,NA,NA,NA,NA,NA,NA,NA,3,4,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696363636,13230909,1.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,21.6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Citrus jambhiri,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,36.38,Low,8,Undetermined,90,Alta,36.38,Low,No,33.92,Low,PCG,27.63,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,4,matero,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Erythrina edulis,EVA's (MADR) List,NCB,Leguminosas,Leguminous crops,NA,Local,70,MinorConcern,35,50,Medium,8,Undetermined,90,Alta,50,Medium,No,8,Undetermined,No,15,Low,Yes,Least concern,Near threatened,NA,Native & cultivated,"Arbusto,Árbol",Andes,750 - 2600,"Antioquia,Boyacá,Cauca,Chocó,Cundinamarca,Huila,Meta,Nariño,Norte de Santander,Putumayo,Quindío,Santander,Tolima,Valle",Tropical South America,Nativa,Lista BGV,Leguminous crops,Permanente,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA,NA,CHACHAFRUTO,50,NA,NA,20,100,NA,300,NA,NA,12.9,11.6,82.41666667,10,NA,NA,2,10,NA,60,NA,NA,3,2.9,14.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.625711035,11251422,1.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,11.6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Citrus latifolia,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,30,Low,57.5,Medium,30,Baja,30,Low,No,57.5,Medium,No,29.12,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,1,NO,NA,NA,NA,NA,NA,NA,LIMA,6589.7,3976.6,8561.6,9840.4,12166.33,20285.3,15629.9,17726.3,50809.775,76264.9,98539.282,29126.37,234.1,189.1,388.1,457.8,521.3,1237.8,892.75,1053.75,2430.75,3724.8,4897.9,1457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.98,NA,3.40E-02,NA,NA,NA,NA,NA,NA,NA,NA,1,98539.28,0,0,0,1,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,45.6,12.768,0.1368,0,12.312,2.13E-02,T1,NA,NA,1.05E-02,T1,1.03E-02,T1
107,Mentha pulegium,EVA's (MADR) List,NCB,Plantas aromaticas condimentarias y medicinales,Beverage and spice crops,NA,Distant,20,MinorConcern,35,30,Low,37.5,Low,90,Alta,30,Low,No,37.5,Low,No,29.12,Low,Yes,Not Evaluated,Least concern,NA,Cultivated,Hierba,"Amazonia,Andes",400 - 2900,"Boyacá,Cundinamarca,Putumayo",South and East Mediterranean,Introducida,Lista BGV,Beverage and spice crops,Transitorio,NA,NA,NA,NA,SI,NA,NA,NA,NA,NA,NA,POLEO,0,0,0,0,0,0,2,6,9,9,25,4.636363636,NA,NA,NA,NA,NA,NA,2,4,4,4,20,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681818182,NA,1.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,25,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2267,T2,0.6,T2,NA,NA,NA,NA
109,Nephelium lappaceum,EVA's (MADR) List,NCB,Frutales,Fruits and nuts,NA,Distant,20,MinorConcern,35,52.39,Medium,8,Undetermined,90,Alta,52.39,Medium,No,8,Undetermined,No,22.07,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,Least concern,NA,NA,NA,NA,NA,NA,Southeast Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,NA,NA,NO,NA,NA,NA,NA,NA,NA,RAMBUTAN,NA,NA,NA,NA,NA,NA,NA,0,8,8.5,8.5,6.25,NA,NA,NA,NA,NA,NA,NA,0,2,2.5,2.5,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571428571,57142857,4.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,8.5,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Citrus limon,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,36.38,Low,33.92,Low,90,Alta,36.38,Low,No,33.92,Low,No,27.63,Low,Yes,Not Evaluated,No result,NotEvaluated,Cultivated,Arbolito,"Amazonia,Andes,Islas Caribeñas,Llanura del Caribe,Pacífico,Valle del Cauca,Valle del Magdalena",80 - 2620,"Amazonas,Boyacá,Cundinamarca,Nariño,Putumayo,Valle",East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,1,NO,NA,NA,NA,NA,NA,2,CITRUS AURANTIFOLIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,42,941,913,1132,2495,242,270,675.1111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14000000,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Stevia rebaudiana,EVA's (MADR) List,NCB,Plantas aromaticas condimentarias y medicinales,Beverage and spice crops,NA,Local,70,NotEvaluated,0,30,Low,8,Undetermined,90,Alta,30,Low,No,8,Undetermined,No,55,Medium,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NA,NA,NA,NA,NA,NA,Tropical South America,Nativa,Listado EVA's (MADR),Beverage and spice crops,Permanente,NA,NA,NA,NA,SI,NA,NA,NA,NA,NA,NA,STEVIA,86.5,17.5,22.5,14.8,0.275,8.2,7.6,3.4,3.1,5.05,6.3,15.92954545,12.75,5,7,5.2,0.5,10,7,2.5,2,3,3.5,5.313636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99786142,NA,3.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,6.3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Citrus lycopersicae,BGV List,BGVCOL,Frutales,Fruits and nuts,Cítricos,Distant,20,NotEvaluated,0,36.38,Low,8,Undetermined,90,Alta,36.38,Low,No,33.92,Low,PCG,27.63,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,East Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,matero,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,16800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
